food_name,energy_kcal,protein_g,fat_g,carbs_g,vitamins_total,category
Млечен зърнен бар,103,1.6,2.7,18.0,6.954,Други
Бадемов ориз бар,128,2.0,5.7,18.1,9.6,Ядки и семена
Плодови ядки квадратчета,55,0.3,1.3,10.3,0.361,Плодове
оризов пшеничен бар,90,2.0,2.0,16.0,3.289,Други
Крисиран оризов бар,113,1.4,3.8,20.4,2.519,Други
Кафяв ориз суров,685,14.7,5.4,142.9,16.238,Други
Ориз Пилаф се готви,352,7.0,8.8,61.1,6.367,Други
ориз с аромат на говеждо месо,657,19.8,2.3,139.1,12.8,Месо и месни продукти
"Див ориз, приготвен",166,6.5,0.6,35.0,3.242,Други
Див ориз суров,571,23.6,1.7,119.8,15.204,Други
Конги със свинско скариди и калмари плюс яйце,178,0.0,0.3,0.0,0.0,Месо и месни продукти
Бели оризови макаронени изделия,246,5.1,5.7,43.3,5.274,Други
ориз с аромат на пилешко месо суров,601,17.9,2.2,127.3,11.3,Месо и месни продукти
Незабавен бял ориз суров,361,7.4,0.9,78.2,8.618,Други
оризови чипси,107,1.8,0.4,24.1,22.509,Снаксове
ПАРБОИЛЕН БЯЛ ОРИЦА СУМ,692,13.9,1.9,149.6,13.12,Други
Незабавен бял ориз,193,3.6,0.8,41.4,3.301,Други
Райс пилаф суров,732,21.3,2.8,155.7,16.354,Други
Торта за крекер с ориз,111,2.0,1.2,23.0,2.872,Десерти и сладки
Парболиран бял ориз,194,4.6,0.6,41.2,4.872,Други
Бял ориз,199,4.2,0.4,44.7,0.759,Други
Кафява оризова торта,35,0.7,0.3,7.3,1.096,Десерти и сладки
безгрижен бял ориз суров,685,12.6,1.0,151.1,6.117,Други
Бели оризови тестени изделия сурови,600,15.3,4.0,122.8,15.607,Зърнени и тестени
Гледан глутизен бял ориз,169,3.5,0.3,36.7,1.011,Други
"Кафяв ориз, приготвен",218,4.5,1.6,45.8,3.868,Други
Готвен ориз с аромат на говеждо месо,319,7.0,7.9,54.4,4.862,Месо и месни продукти
"Белият ориз, приготвен",205,4.3,0.4,44.5,3.413,Други
варен ориз с аромат на пилешко месо,317,6.2,8.0,54.8,4.786,Месо и месни продукти
Бял ориз суров,675,13.2,1.2,147.9,11.871,Други
Имитация на сирене,441,28.3,36.2,1.1,1.149,Млечни продукти
Сирене Чешир,110,6.6,8.7,1.4,0.576,Млечни продукти
Сирене Монтерей,421,27.7,34.2,0.8,1.489,Млечни продукти
Едам сирене,107,7.5,8.3,0.4,0.56,Млечни продукти
сирене Fontina,420,27.6,33.6,1.7,1.799,Млечни продукти
Сирене Монтерей с ниска мазнина,350,31.9,24.4,0.8,1.149,Млечни продукти
Колби сирене,445,26.8,36.3,2.9,1.699,Млечни продукти
Американско сирене,93,4.5,7.9,0.9,0.732,Млечни продукти
Синьо сирене,106,6.4,8.6,0.7,1.206,Млечни продукти
нектарин,66,1.6,0.5,15.8,11.402,Други
Kiwifruit Gold,51,0.8,0.2,12.8,132.811,Други
Prickly Pear Raw,8,0.001,0.072,1.9,2.332,Други
ананас,45,0.5,0.1,11.8,44.01,Други
Роуан,253,5.2,4.6,54.5,58.8,Други
Мускадин грозде,3,0.014,0.056,0.8,0.046,Плодове
Хайделбеерен Ютро,17,0.0,0.2,0.4,0.0,Други
Снички задушени,316,3.4,0.7,83.2,3.711,Други
мандарин,40,0.6,0.2,10.1,21.238,Други
Снички,237,2.6,0.5,62.3,3.135,Други
лимонова кора,1,0.032,0.002,0.3,2.823,Други
Банан,134,1.6,0.5,34.3,15.63,Плодове
малини,5,0.1,0.034,1.2,3.082,Други
кайсия,17,0.5,0.1,3.9,4.183,Други
Ягода Гуава,4,0.01,0.008,1.0,2.326,Плодове
Kiwifruit Green,42,0.8,0.4,10.1,65.608,Други
Фиг,37,0.4,0.2,9.6,1.63,Други
Клементин,35,0.6,0.1,8.9,36.993,Други
Оранжево,86,1.7,0.2,21.6,99.669,Други
Bartlett Pear,112,0.7,0.3,26.6,8.47,Други
Червено бяло касис,63,1.6,0.2,15.5,46.42,Други
боровинки,84,1.1,0.5,21.4,16.234,Други
Мълъри,6,0.2,0.049,1.5,5.81,Други
Java Plum,2,0.034,0.029,0.5,0.626,Други
Пюре от сини сливи,46,0.4,0.02,11.7,1.41,Други
Applesauce,102,0.4,0.2,27.5,3.364,Други
къпини сурови,62,2.0,0.7,13.8,33.448,Други
слива,30,0.5,0.2,7.5,7.005,Други
Американско грозде,2,0.035,0.087,0.4,0.401,Плодове
праскова,59,1.4,0.4,14.3,12.574,Плодове
Меден пъпеш,64,1.0,0.2,16.1,33.436,Плодове
Жълт плантанов пържен,399,2.4,12.7,68.9,5.011,Други
Розови бедрата,206,2.0,0.4,48.5,551.561,Други
лимони,17,0.6,0.2,5.4,31.19,Други
вар,20,0.5,0.1,7.1,20.111,Други
нар,117,2.4,1.6,26.4,16.271,Други
Гъбешки,66,1.3,0.9,15.3,43.359,Други
Азиатска круша,51,0.6,0.3,13.0,5.432,Други
Abiyuch,157,3.4,0.2,40.1,123.3,Други
Рогат пъпеш Кивано,92,3.7,2.6,15.8,12.898,Плодове
Салата от плодови орехи McDonalds,312,4.8,13.3,43.8,384.902,Плодове
грейпфрут,53,1.0,0.2,13.3,39.92,Други
Японска хурма,118,1.0,0.3,31.2,14.308,Други
Диви малини,81,1.5,0.4,18.0,37.085,Други
Pink Lady Apple,18,0.1,0.1,3.9,0.0,Други
Марашино череши,8,0.06,0.083,2.1,0.302,Други
Черни касис,71,1.6,0.5,17.2,204.622,Други
Плантайн се готви,179,1.2,0.3,48.0,19.129,Други
раци ябълка,84,0.4,0.3,21.9,9.032,Плодове
Pom Potes Materne,19,0.0,0.2,0.2,0.0,Други
Apple,95,0.5,0.3,25.1,9.238,Други
Канталупа пъпеш,60,1.5,0.3,14.4,66.777,Плодове
"Бодлива круша, приготвена",7,0.091,0.043,1.6,0.75,Други
Гуава,37,1.4,0.5,7.9,126.977,Други
ягоди,4,0.01,0.069,0.9,7.583,Други
Японската хурма изсъхна,93,0.5,0.2,25.0,0.072,Други
диня,86,1.7,0.4,21.6,24.696,Плодове
бъз,106,1.0,0.7,26.7,53.602,Други
Kumquat,13,0.4,0.2,3.0,8.663,Други
Оранжева кора,6,0.093,0.017,1.5,8.447,Други
Pokeberry издънки,33,3.8,0.7,5.1,139.479,Други
Хляб,227,2.4,0.5,59.7,67.501,Зърнени и тестени
круша,101,0.6,0.2,27.1,8.476,Други
кисели череши,52,1.0,0.3,12.5,10.995,Други
Plantain Raw,218,2.3,0.6,57.1,35.612,Други
къпини замръзнали,97,1.8,0.6,23.7,8.739,Други
Череши,5,0.068,0.056,1.3,0.964,Други
Плантанов пържен,16,0.023,0.6,2.6,0.571,Други
Carambola Starfruit,26,0.9,0.3,5.7,30.053,Други
Чайот готвен,35,1.0,0.8,7.2,14.496,Напитки
Apple Dippers McDonalds,33,0.0,0.0,8.2,188.489,Други
Бял грейпфрут,78,1.6,0.2,19.8,80.474,Други
Черимоя,176,3.7,1.6,41.6,33.634,Други
Топки за пъпеш,57,1.5,0.4,13.7,12.765,Плодове
Златна вкусна ябълка,62,0.3,0.2,14.8,0.573,Плодове
Pokeberry изстрелва сурово,37,4.2,0.6,5.9,220.341,Други
червени боровинки,21,0.2,0.014,5.4,7.23,Други
дюля,52,0.4,0.012,14.1,14.236,Други
Chayote Raw,25,1.1,0.2,6.0,11.606,Други
Оранжево с кора,100,2.1,0.5,24.6,114.561,Други
chokecherries,249,4.7,2.6,51.8,11.321,Други
Манго,202,2.8,1.3,50.3,128.834,Други
Дива слива,147,0.7,0.3,35.3,18.936,Други
Jeijoa,148,1.7,1.0,37.0,81.928,Други
приземяване,74,2.7,1.0,15.7,19.543,Други
Песка,30,0.0,0.1,0.0,0.0,Други
Перна,32,0.2,0.1,8.4,16.5,Други
грозде,3,0.045,0.044,0.9,0.586,Плодове
Рамбутан консерви,175,1.4,0.4,44.7,13.717,Други
Смокини консервирани,14,0.1,0.039,3.8,0.808,Други
Снички консервирани,246,2.0,0.5,65.1,9.644,Други
ананаси консервирани,28,0.2,0.05,7.4,4.956,Други
Сливи сливи консервирани,27,0.2,0.075,7.0,1.908,Други
Мандарини консервирани,92,1.5,0.1,23.8,87.191,Други
плодов коктейл консерви,109,1.1,0.053,28.1,8.603,Плодове
кисели череши консервирани,189,1.9,0.3,48.6,5.921,Други
Мангостин консерви,143,0.8,1.1,35.1,6.72,Други
сок от кайсии,117,1.5,0.07,30.1,14.716,Напитки
Ягодни консервирани,234,1.4,0.7,59.8,81.874,Други
консервирана от праскова,110,1.6,0.094,28.9,12.023,Плодове
Плодова салата консерви,125,1.3,0.008,32.5,9.322,Плодове
Гъбешки консервирани,184,1.6,0.5,47.3,26.192,Други
Грейпфрут консерви,88,1.4,0.2,22.3,54.627,Други
круша консерви,38,0.3,0.001,9.8,1.863,Други
Малини консервирани,233,2.1,0.3,59.8,25.912,Други
Папая консерви,80,0.001,0.2,21.8,1.583,Други
Гроздето консервирано,98,1.2,0.3,25.2,3.629,Плодове
Apple изсъхна,145,0.6,0.2,39.1,3.542,Други
изсушена от праскова,199,3.0,0.6,50.8,14.234,Плодове
Плантанов чипс,150,0.6,8.4,18.1,11.354,Снаксове
Златни стафиди,498,5.6,0.8,131.2,8.564,Други
стафиди сеит,488,4.2,0.9,129.5,11.684,Други
Занте касис изсъхна,408,5.9,0.4,106.7,10.247,Други
круша изсъхна,94,0.7,0.2,25.1,3.239,Други
стафиди,90,1.0,0.056,23.8,1.08,Други
сливи сливи изсъхнаха,308,2.7,0.5,81.5,9.37,Други
Червените боровинки изсъхнаха,370,0.053,1.6,98.8,3.149,Други
Смокини изсъхнаха,21,0.3,0.008,5.4,0.385,Други
Longans изсъхна,5,0.027,0.091,1.3,0.564,Други
Бананови чипове,147,0.7,9.5,16.5,2.405,Плодове
Личи изсъхна,7,0.01,0.003,1.8,4.877,Други
кайсиево изсушено,17,0.2,0.015,4.4,0.864,Други
Лонгън,2,0.009,0.076,0.5,2.776,Други
Мами Сапоте,217,2.5,0.8,56.2,48.812,Други
WaxGourd готви,19,0.7,0.4,4.3,19.722,Други
джакфрут,33,0.6,0.2,8.1,5.513,Други
Локути,9,0.09,0.071,2.4,0.414,Други
Mammy Apple Mamey,431,4.2,4.2,105.8,124.1,Други
Нанс,82,0.7,1.3,19.0,105.738,Други
Кокосово цял кокосов орех,3336,0.0,71.5,0.0,0.0,Ядки и семена
бодлива круша,42,0.8,0.5,9.9,15.222,Други
Личи,6,0.024,0.016,1.6,7.149,Други
Naranjilla Lulo Pulp,30,0.5,0.3,7.1,6.882,Други
Кокосово месо изсушено,187,1.9,18.3,6.7,1.121,Месо и месни продукти
Waxgourd Raw,17,0.5,0.3,4.0,18.241,Други
Суринам Чери Питанга,2,0.045,0.059,0.5,1.924,Други
Пасивен плод,17,0.4,0.1,4.2,6.01,Плодове
Саподила,141,0.7,1.9,33.9,25.867,Други
Pummelo,48,1.0,0.06,12.0,76.77,Други
кокосово месо,1405,13.2,133.0,60.5,18.073,Месо и месни продукти
Soursop,149,2.3,0.7,37.9,49.632,Други
Папая,62,0.7,0.4,15.7,89.742,Други
Acerola Cherry,2,0.079,0.052,0.4,80.844,Други
Охело плодове,39,0.5,0.3,9.6,8.948,Плодове
Логанбери,81,2.2,0.5,19.1,25.635,Други
Касаба Мелон,48,1.9,0.2,11.2,38.115,Други
Дуриан,51,0.5,1.9,9.5,7.673,Други
Кориандър оставя сурови,4,0.3,0.086,0.6,5.235,Други
Градински крес суров,3,0.2,0.062,0.5,6.371,Други
Pasilla чушки изсъхнаха,24,0.9,1.1,3.6,1.642,Други
магданоз изсъхна,1,0.1,0.096,0.3,0.969,Други
Аншо пипер изсъхна,48,2.0,1.4,8.7,2.837,Други
Кориандър семена,5,0.2,0.3,1.0,0.578,Ядки и семена
Копър плевел изсъхна,253,20.0,4.4,55.8,55.2,Други
бойж,19,1.6,0.6,2.7,32.367,Други
епазот,0,0.059,0.06,0.094,0.275,Други
Чивс изсъхна,1,0.013,0.055,0.1,1.538,Други
Мащерка прясна,1,0.091,0.068,0.2,1.617,Други
Butterbur,4,0.1,0.2,0.5,15.323,Други
Корен от Васаби,142,6.2,0.8,30.6,56.599,Други
розмарин изсъхна,4,0.081,0.2,0.8,0.889,Други
корен на джинджифил,2,0.068,0.028,0.4,0.56,Други
бял пипер,7,0.2,0.0,1.6,0.723,Други
Пустици,6,0.1,0.3,1.4,0.695,Други
Paprika,19,1.0,0.9,3.7,3.194,Други
Мейс земя,25,0.4,1.7,2.7,1.327,Други
дафинов лист,2,0.086,0.042,0.4,0.545,Други
Eppaw,150,4.6,1.8,31.7,14.972,Други
естрагон изсъхна,2,0.1,0.047,0.3,0.651,Други
Джинджифил,6,0.2,0.043,1.3,0.6,Други
пикантна земя,4,0.074,0.029,1.0,0.783,Други
черен пипер,6,0.2,0.006,1.5,0.43,Други
Spearmint Fresh,3,0.2,0.089,0.5,1.164,Други
подправка за домашни птици,14,0.4,0.3,2.9,0.944,Подправки и сосове
Земя на индийското орехче,12,0.1,0.8,1.1,0.289,Ядки и семена
Къри на прах,20,0.8,0.9,3.7,2.491,Други
мента,1,0.038,0.004,0.2,0.77,Други
Сол,0,0.0,0.0,0.0,0.0,Други
Листата от кориандър изсъхват,2,0.1,0.098,0.3,3.668,Други
Мъдрец,2,0.058,0.046,0.4,0.621,Други
чесън на прах,10,0.5,0.029,2.3,0.388,Други
Копър плевел прясно,4,0.3,0.063,0.6,7.901,Други
Кардамон,6,0.2,0.1,1.4,0.562,Други
шафран,2,0.071,0.092,0.5,0.929,Други
Земя на всички спорове,5,0.1,0.2,1.4,1.003,Други
Магданоз прясно,1,0.1,0.078,0.2,5.441,Други
риган изсушен,265,9.0,4.3,68.9,28.0,Други
Marjoram изсъхна,5,0.2,0.1,1.0,1.247,Други
Чивс сурови,1,0.03,0.088,0.1,2.141,Други
Листа от огнена,24,1.1,0.6,4.4,2.13,Други
Розмарин прясно,1,0.005,0.1,0.1,0.439,Други
чесън,4,0.2,0.026,0.9,1.262,Други
Канелена земя,6,0.1,0.044,2.1,0.398,Други
Червил изсъхна,5,0.4,0.002,0.9,1.378,Други
Кайен пипер,1,0.039,0.094,0.2,0.429,Други
Куркума,8,0.2,0.2,1.4,1.13,Други
горчица,3,0.2,0.2,0.3,0.42,Подправки и сосове
Чили на прах,8,0.4,0.4,1.3,1.577,Други
изсушена мащерка,276,9.1,7.4,63.9,64.2,Други
Spearmint изсъхна,1,0.094,0.018,0.3,0.279,Други
босилек изсъхна,2,0.2,0.027,0.3,0.349,Други
Гелени от глухарче,35,2.1,0.6,6.7,21.021,Други
Босилек свеж,2,0.2,0.089,0.2,1.701,Други
док,29,2.7,0.9,4.3,64.92,Други
"Градински крес, приготвен",31,2.6,0.8,5.1,34.064,Други
лук на прах,8,0.2,0.024,1.9,1.023,Зеленчуци
Зелени от глухарче сурови,25,1.5,0.4,5.1,22.454,Зеленчуци
Йокан,36,0.5,0.022,8.5,0.334,Други
Фава боб се готви,187,12.9,0.7,33.4,2.746,Бобови
Френски боб суров,631,34.6,3.7,118.0,16.6,Бобови
Нахут консерви,352,17.8,7.0,57.0,0.806,Бобови
"Жълт боб, приготвен",255,16.2,1.9,44.7,5.7,Бобови
Мънг боб се готви,212,14.2,0.8,38.7,5.1,Бобови
Консервирани бели боб,299,19.0,0.8,55.5,3.678,Бобови
"Розов боб, приготвен",252,15.3,0.8,47.2,4.3,Бобови
Розов боб суров,720,44.0,2.4,134.8,10.607,Бобови
Военноморски боб RAW,701,46.4,3.1,126.4,9.798,Бобови
приготвен приготвен боб,44,2.4,0.4,9.9,13.811,Бобови
Черни очи Cowpeas Raw,131,4.3,0.5,27.3,6.586,Други
Edamame готви,189,18.5,8.1,13.8,13.853,Други
"Черни очи каупеи, приготвени",160,5.2,0.6,33.5,7.3,Други
приготвен зюмбюл,227,15.8,1.1,40.2,136.038,Други
Cowpeas Conned,185,11.4,1.3,32.7,8.4,Други
Пинто бобът се готви,245,15.4,1.1,44.8,5.0,Бобови
Крилат боб се готви,253,18.3,10.0,25.7,2.474,Бобови
Pinto Beans Raw,670,41.3,2.4,120.7,20.162,Други
Черни костенурни зърна сурови,624,39.1,1.7,116.4,9.132,Други
Fava Beans Raw,512,39.2,2.3,87.4,10.33,Други
Лима боб консервиран,190,11.9,0.4,35.9,1.628,Бобови
Хиацинтни зърна суров,722,50.2,3.5,127.6,9.008,Други
Бял боб суров,673,47.2,1.7,121.7,5.53,Бобови
Затворен боб консервиран,66,3.5,0.4,15.4,17.336,Бобови
Военноморски боб консервирани,296,19.7,1.1,53.6,6.622,Бобови
Mung Beans Raw,718,49.4,2.4,129.6,23.609,Други
Adzuki Beans Raw,648,39.1,1.0,123.9,11.3,Други
Черни костенурни зърна,241,15.1,0.6,45.0,3.9,Други
Розова леща сурова,662,47.9,4.2,113.6,9.3,Бобови
Жълт боб суров,676,43.1,5.1,119.0,9.9,Бобови
"Бели боб, приготвени",249,17.4,0.6,44.9,2.95,Бобови
Леща сурова,678,49.5,2.0,115.4,22.483,Бобови
Бобът от червени борове се готви,241,16.5,0.8,43.3,2.3,Бобови
Нахут суров,728,38.6,12.1,121.3,19.504,Бобови
Леща се готви,230,17.9,0.8,39.9,7.8,Бобови
Печен боб консервиран,239,12.1,0.9,53.7,2.533,Бобови
Човек бобови зърна консерви,216,14.4,0.7,39.3,4.3,Бобови
"Черен боб, приготвен",227,15.2,0.9,40.8,3.781,Бобови
Бобски боб,216,14.7,0.7,39.3,2.8,Бобови
Mungo Beans Raw,706,52.2,3.4,122.1,7.0,Други
Pigeon Peas Raw,703,44.5,3.1,128.7,11.9,Други
Фава боб консерви,182,14.0,0.6,31.8,7.666,Бобови
Жълт щракане на зърна суров,31,1.8,0.1,7.1,17.331,Други
Snap Beans Raw,31,1.8,0.2,7.0,13.847,Други
Жълт зърна на зърна консерви,36,1.9,0.2,8.4,9.355,Други
Гълъб грах с приготвен,203,11.4,0.6,39.1,2.301,Бобови
Catjang Cowpeas Raw,573,39.8,3.5,99.6,12.8,Други
Военноморски боб се готви,255,15.0,1.1,47.4,2.882,Бобови
Mothbeans Raw,672,45.0,3.2,120.6,19.6,Други
Cowpeas се готви,81,5.4,0.4,14.5,1.34,Други
мотбони се готвят,207,13.8,1.0,37.1,4.488,Други
Френски боб се готви,228,12.5,1.3,42.5,4.1,Бобови
Lima Beans Raw,602,38.2,1.2,112.8,9.358,Други
Крилат боб суров,744,54.0,29.7,75.9,10.084,Бобови
Адзуки боб се готви,294,17.3,0.2,57.0,3.5,Бобови
Черен боб суров,662,41.9,2.8,121.0,9.526,Бобови
Catjang Cowpeas се готви,200,13.9,1.2,34.7,3.355,Други
бебешки боб от лима,189,12.0,0.5,35.0,13.7,Бобови
Cowpeas Raw,41,3.1,0.3,8.9,34.012,Други
Шели боб консервиран,74,4.3,0.5,15.2,8.716,Бобови
Ярдски боб суров,579,40.6,2.2,103.4,12.5,Бобови
Pinto Beans Canned,197,11.0,1.3,36.4,4.483,Други
Нахут се готви,269,14.5,4.2,45.0,4.924,Бобови
Зърно зърна суров,653,44.9,2.4,117.1,8.0,Други
Мунго бобът се готви,189,13.6,1.0,33.0,6.392,Бобови
тамаринди,5,0.057,0.013,1.3,0.477,Други
Жълт щрака зърна,44,2.4,0.4,9.9,13.902,Други
yardlong beans cooked,202,14.2,0.8,36.1,3.2,Други
Бекон говеждо пържола,146,8.2,12.5,0.2,2.312,Месо и месни продукти
Агнешко предсказание RAW,912,85.8,60.7,0.0,31.127,Други
бекон,106,3.3,10.2,0.2,0.169,Месо и месни продукти
"Агнешко ребро, приготвено",915,53.9,76.0,0.0,20.266,Други
Агнешко осеян,912,84.3,61.2,0.0,34.635,Други
скрап,60,2.3,3.9,4.0,1.884,Други
Пилешки самородки,61,3.2,4.1,3.0,2.039,Месо и месни продукти
"смляно агне, приготвено",886,77.5,61.5,0.0,25.208,Други
"Агнешко месо, приготвено",678,63.8,45.0,0.0,19.581,Месо и месни продукти
удължител на месо,275,33.5,2.6,33.7,23.565,Месо и месни продукти
Агнешки крак суров,1043,81.2,77.4,0.0,34.897,Други
"Агнешко сладко, приготвено",202,16.1,14.8,0.0,5.337,Други
пилешка баничка,172,8.9,11.7,7.7,4.826,Месо и месни продукти
Агнешко печено,605,71.0,33.5,0.0,21.436,Други
Барбекю хляб,40,3.6,2.0,1.5,1.274,Зърнени и тестени
"Агнешко месо, приготвено",765,64.5,54.2,0.0,20.972,Месо и месни продукти
Салата за домашни птици,26,1.5,1.8,1.0,1.044,Други
смляно агнешко сурово,80,4.7,6.6,0.0,2.152,Други
Агнешко сладко сурово,88,4.6,7.5,0.0,2.333,Други
Агнешко сиреноин RAW,1234,76.8,100.3,0.0,35.199,Други
Патичка на колбаси Макдоналдс,115,4.3,11.2,0.4,1.62,Други
"Агнешко предсказание, приготвено",360,42.0,19.9,0.0,9.914,Други
Салата от шунка,97,3.9,7.0,4.8,2.188,Месо и месни продукти
Агнешко ребро сурово,1687,65.9,156.0,0.0,33.153,Други
Агнешко рамо сурово,1198,75.2,97.3,0.0,32.061,Други
Агнешко месо сурово,1102,79.6,84.6,0.0,32.737,Месо и месни продукти
"Агнешко рамо, приготвено",750,62.5,53.5,0.0,16.365,Други
овнешко готвено,66,9.5,3.1,0.027,2.529,Други
"Агнешки крак, приготвен",684,67.7,43.7,0.0,21.347,Други
говеждо пръчка,110,4.3,9.9,1.1,2.476,Други
Нелестно се готви,517,64.1,26.9,0.0,17.98,Други
"телешко ребро, приготвено",444,57.4,22.2,0.0,17.14,Месо и месни продукти
"Нелехово месо, приготвено",483,62.9,23.8,0.0,21.69,Месо и месни продукти
говеждо ребро печено,238,15.4,19.1,0.0,3.407,Други
телешко месо Raw,689,86.5,35.4,0.0,49.713,Месо и месни продукти
говеждо горещ филе на скара,323,37.0,19.0,0.8,7.727,Други
"говеждо месо под острие, приготвена",983,140.8,46.7,0.0,26.722,Месо и месни продукти
макетна нежна пържола сурова,244,42.2,8.3,0.0,10.919,Други
смляно говеждо месо,375,35.5,24.8,0.0,11.265,Месо и месни продукти
смляно говеждо сурово,1506,65.1,136.1,0.0,21.579,Други
говеждо кубче асда,48,0.0,0.7,10.5,0.0,Други
телешко ребро сурово,735,85.5,40.9,0.0,39.767,Месо и месни продукти
Зеленото телесно сурово,41,5.5,1.9,0.0,2.924,Зеленчуци
"T костна пържола, приготвена",1049,89.3,74.1,0.0,29.183,Други
телешки крак кръг,531,95.2,14.0,0.0,52.813,Други
говеждо горна сиядна пържола сурова,1222,123.4,77.3,0.0,46.683,Други
Говеждо чиния пържола на скара,508,47.1,35.6,0.0,15.603,Други
смляно телешко приготвено,514,72.9,22.6,0.0,30.168,Месо и месни продукти
Основен кръг на крака,574,98.4,17.2,0.0,35.235,Други
Porterhouse Steak Raw,1170,81.6,91.1,0.0,20.415,Други
телешко месо сурово,513,86.9,15.8,0.0,43.41,Месо и месни продукти
"телешка гърда, приготвена",753,76.3,47.5,0.0,27.37,Други
Corned Beef Canned,53,5.7,3.1,0.0,0.909,Други
ребро око на скара на скара,680,62.4,47.7,0.0,15.382,Други
телешко рамо сурово,0,0.0,0.0,0.0,0.0,Месо и месни продукти
T костна пържола сурова,1052,85.7,76.3,0.0,20.845,Други
Сирусна пържола,324,49.5,14.1,0.0,14.251,Други
"Макетна нежна пържола, приготвена",137,21.9,4.9,0.0,3.878,Други
Гусета говеждо кръгла пържола,385,64.8,12.1,0.0,14.838,Други
Чък острие печено сурово,1125,77.8,88.0,0.0,14.168,Други
говеждо раменна пържола сурова,349,48.2,17.3,0.0,13.794,Други
Готвено топче с говеждо месо,184,21.9,10.0,0.0,4.811,Месо и месни продукти
говеждо говеждо месо,53,3.8,4.0,0.006,1.084,Месо и месни продукти
говеждо кръгла пържола сурова,753,100.1,36.0,0.0,38.525,Други
говеждо раменна пържола на скара,155,24.0,5.8,0.0,6.595,Други
Чък Eye Steak Raw,856,72.4,62.8,0.0,22.366,Други
Гусета от говеждо долна пържола,980,155.8,35.1,0.0,36.725,Други
Портърхаус пържола се готви,235,20.4,16.4,0.0,4.792,Други
говеждо месо под пържола за острие сурова,1235,126.8,80.8,0.0,23.678,Месо и месни продукти
говеждо чиния пържола сурова,617,47.8,46.8,0.9,17.342,Други
говеждо месо консерви,111,9.2,7.9,0.0,3.069,Месо и месни продукти
говеждо закуска ленти сурови,92,2.8,8.8,0.2,6.492,Други
Горско гърди от говеждо месо,589,46.0,43.6,0.0,7.87,Месо и месни продукти
Кормаво говеждо месо сурово,898,66.6,67.6,0.6,143.913,Месо и месни продукти
говеждо кайма месо асда,55,0.0,3.1,6.8,0.0,Месо и месни продукти
Пастрами говеждо месо без мазнини,9,1.9,0.1,0.1,4.162,Месо и месни продукти
Rib Eye Steak Raw,743,62.8,54.5,0.4,18.315,Други
"Гусета говеждо месо, приготвена",374,37.0,24.0,0.0,12.539,Месо и месни продукти
Чък острие печено,842,66.1,62.0,0.0,8.738,Други
изсушено говеждо месо,4,0.9,0.019,0.06,0.412,Месо и месни продукти
Гувана пържола с говеждо фланг,380,51.8,17.5,0.0,17.093,Други
Чък очи пържола на скара,853,76.9,60.5,0.0,23.173,Други
телешко месо сурово,653,87.8,30.7,0.0,44.758,Месо и месни продукти
"Нелестно кук, приготвен",80,8.5,4.9,0.0,3.217,Други
телешко месо сурово,46,5.3,2.6,0.0,3.235,Месо и месни продукти
"телешко рамо, приготвено",435,61.2,19.4,0.0,17.314,Месо и месни продукти
говеждо филе пържола сурова,405,32.2,29.8,0.0,12.541,Други
Нелестно се готви,371,61.2,12.0,0.0,21.896,Други
говеждо месо сурово,1139,83.6,86.5,0.0,20.052,Месо и месни продукти
Пастрами говеждо месо,104,15.5,4.1,0.3,4.1,Месо и месни продукти
говеждо фланг пържола сурова,47,6.0,2.3,0.0,2.751,Други
"Гусета говеждо горна пържола, приготвена",430,47.7,25.2,0.0,15.925,Други
телешка гърда сурова,943,79.2,66.9,0.0,0.0,Други
говеждо ребро сурово,1433,73.8,123.8,0.0,15.678,Други
говеждо месо,82,6.6,5.1,2.2,0.811,Месо и месни продукти
готвени ивици за закуска с говеждо месо,51,3.5,3.9,0.2,1.021,Месо и месни продукти
свинско маслиново хляб,66,3.3,4.6,2.6,1.179,Зърнени и тестени
говеждо обяд месо от желе,31,5.3,0.9,0.0,1.877,Месо и месни продукти
Турция Пастрами,38,4.6,1.8,0.5,3.832,Други
свински салами,41,2.3,3.4,0.2,1.029,Други
канадски стил бекон суров,45,5.9,2.0,0.5,2.389,Месо и месни продукти
Меден хляб,85,9.9,3.6,2.6,3.043,Зърнени и тестени
свинско говеждо салами,37,2.1,3.1,0.076,1.238,Месо и месни продукти
говеждо свинско болоня,92,4.6,7.4,1.6,1.545,Месо и месни продукти
"свинско говеждо салами, готвени",41,2.7,3.2,0.3,1.153,Месо и месни продукти
свинско закуска ивици сурова,88,2.7,8.4,0.2,7.346,Месо и месни продукти
Pickle Pimiento Loaf,86,4.3,6.1,3.2,4.943,Други
Луксозен хляб,39,5.2,1.3,1.4,1.534,Зърнени и тестени
Mortadella,47,2.5,3.8,0.5,0.869,Други
свинско болоня,69,4.3,5.6,0.2,1.844,Месо и месни продукти
Турция Салам се готви,9,1.0,0.5,0.081,0.742,Други
Пеперони говеждо месо,10,0.5,0.9,0.0,0.486,Месо и месни продукти
Перпериран хляб,42,4.9,1.8,1.3,1.557,Зърнени и тестени
Обядно месо говеждо месо,10,1.8,0.3,0.0,1.341,Месо и месни продукти
Ливан Болоня,98,10.8,6.0,0.3,3.424,Други
Пиле от свинско болоня,94,2.9,8.6,1.2,5.456,Месо и месни продукти
Турция ролка,40,4.9,1.9,0.6,1.871,Други
